chr	start	end	value
chrI	1	1001	0.833309647722666
chrI	1001	2001	0.497060783297549
chrI	2001	3001	0.738886908157444
chrI	3001	4001	2.20545520764042
chrI	4001	5001	0.99686937272697
chrI	5001	6001	0.614589987384227
chrI	6001	7001	1.16622113847343
chrI	7001	8001	0.798948252072136
chrI	8001	9001	1.42537244579523
chrI	9001	10001	1.88967621297116
chrI	10001	11001	1.65612574012997
chrI	11001	12001	1.44114758241214
chrI	12001	13001	1
chrI	13001	14001	1.24069680886831
chrI	14001	15001	0.930401767075725
chrI	15001	16001	1.07615258260414
chrI	16001	17001	0.855563501144165
chrI	17001	18001	1.27543878212496
chrI	18001	19001	0.459332859186396
chrI	19001	20001	0.873853734374804
chrI	20001	21001	1.32068454552234
chrI	21001	22001	1.45838593572854
chrI	22001	23001	1.10099583218898
chrI	23001	24001	1.09439389381862
chrI	24001	25001	0.921200039237004
chrI	25001	26001	1.24106163320224
chrI	26001	27001	1.21117340784696
chrI	27001	28001	0.868863561844116
chrI	28001	29001	0.729169406871545
chrI	29001	30001	1.04923699601069
chrI	30001	31001	1.38202301942325
chrI	31001	32001	0.410570020180633
chrI	32001	33001	1.08224990109275
chrI	33001	34001	0.94588501031379
chrI	34001	35001	1.57074589653023
chrI	35001	36001	1.3940576080775
chrI	36001	37001	1.08567876055723
chrI	37001	38001	1.07983413213813
chrI	38001	39001	1.48732659823963
chrI	39001	40001	1.29664405780006
chrI	40001	41001	1.79114577866656
chrI	41001	42001	1.44548318872279
chrI	42001	43001	1.22088311258378
chrI	43001	44001	1.1479756773399
chrI	44001	45001	1.3857008466604
chrI	45001	46001	0.995963035019455
chrI	46001	47001	0.998554299450682
chrI	47001	48001	0.999603227086364
chrI	48001	49001	0.591493661233438
chrI	49001	50001	1.02937973802885
chrI	50001	51001	1.31184077409274
chrI	51001	52001	1.11274540613789
chrI	52001	53001	1.22322325712673
chrI	53001	54001	0.967924511297169
chrI	54001	55001	1.02256834482564
chrI	55001	56001	1.98409250959254
chrI	56001	57001	1.44970640499372
chrI	57001	58001	1.67836685420904
chrI	58001	59001	1.83976862960983
chrI	59001	60001	2.25296069398361
chrI	60001	61001	1.51627177505181
chrI	61001	62001	0.998417688719986
chrI	62001	63001	1.42382574732342
chrI	63001	64001	0.750810558323564
chrI	64001	65001	0.251160566459308
chrI	65001	66001	1.22802730484209
chrI	66001	67001	1.34338252497855
chrI	67001	68001	1.04771514021096
chrI	68001	69001	1.6164990339341
chrI	69001	70001	0.822302611170921
chrI	70001	71001	0.567314033793453
chrI	71001	72001	1.22589451813196
chrI	72001	73001	1.16721761684382
chrI	73001	74001	0.997377935488194
chrI	74001	75001	0.995520289721878
chrI	75001	76001	1.10116483235052
chrI	76001	77001	0.892880937344696
chrI	77001	78001	0.814257107542713
chrI	78001	79001	0.985075066358745
chrI	79001	80001	0.612802341261871
chrI	80001	81001	1.01491004571109
chrI	81001	82001	0.74723438689025
chrI	82001	83001	0.887172248577911
chrI	83001	84001	0.731601396259559
chrI	84001	85001	1.41879131767752
chrI	85001	86001	1.30689743996196
chrI	86001	87001	1.87526830546708
chrI	87001	88001	1.32137074045973
chrI	88001	89001	0.877585207828806
chrI	89001	90001	0.958403451335557
chrI	90001	91001	0.987114213140917
chrI	91001	92001	1.11191520598714
chrI	92001	93001	1.32360264282123
chrI	93001	94001	1.58858690913885
chrI	94001	95001	1.43191807617075
chrI	95001	96001	0.749907337679147
chrI	96001	97001	1.08689125031554
chrI	97001	98001	0.916583962724352
chrI	98001	99001	1.5416988081676
chrI	99001	100001	1.15122117003692
chrI	100001	101001	1.07920894595154
chrI	101001	102001	0.784405214909396
chrI	102001	103001	0.842953329998846
chrI	103001	104001	0.73225925652206
chrI	104001	105001	0.755518449221129
chrI	105001	106001	0.883804959892095
chrI	106001	107001	1.7216614657817
chrI	107001	108001	1.50118276854458
chrI	108001	109001	1.4541222953266
chrI	109001	110001	1.67148293228875
chrI	110001	111001	1.26752548504814
chrI	111001	112001	1.40309973533651
chrI	112001	113001	1.82665916886077
chrI	113001	114001	1.41723970122092
chrI	114001	115001	1.46217116443478
chrI	115001	116001	1.33613954221726
